date,symbol,open,high,low,close,volume
2/1/2018 17:00,CRYPTOCAP:BTC.D,37.91669558,42.20048552,37.33762363,39.1477544,7947315904
2/2/2018 17:00,CRYPTOCAP:BTC.D,39.03294861,39.98050286,37.81785392,38.47312448,7947315904
2/3/2018 17:00,CRYPTOCAP:BTC.D,38.42559796,39.89018976,38.07450007,39.23288409,6970321497
2/4/2018 17:00,CRYPTOCAP:BTC.D,39.22921256,40.82846557,38.7726843,40.10778892,6970321497
2/5/2018 17:00,CRYPTOCAP:BTC.D,40.03744204,41.69053739,38.74648023,39.33573224,6970321497
2/6/2018 17:00,CRYPTOCAP:BTC.D,39.28114685,40.36079112,39.00749618,40.11692956,6970321497
2/7/2018 17:00,CRYPTOCAP:BTC.D,40.11110813,40.32196531,39.21820347,39.22160092,6970321497
2/8/2018 17:00,CRYPTOCAP:BTC.D,39.18284515,39.78965006,38.17341863,38.75014847,6970321497
2/9/2018 17:00,CRYPTOCAP:BTC.D,38.75082188,39.18081531,37.27969207,38.61319815,6970321497
2/10/2018 17:00,CRYPTOCAP:BTC.D,38.58302154,39.20470818,38.21790293,38.65287447,6975910773
2/11/2018 17:00,CRYPTOCAP:BTC.D,38.6551126,39.21775164,38.36108589,39.15320348,6975910773
2/12/2018 17:00,CRYPTOCAP:BTC.D,39.17368669,39.52403898,38.67667752,38.92459957,6975910773
2/13/2018 17:00,CRYPTOCAP:BTC.D,38.97864188,39.51044835,38.14434027,38.71435062,6975910773
2/14/2018 17:00,CRYPTOCAP:BTC.D,38.71720919,40.1248761,38.71720919,39.92534982,6975910773
2/15/2018 17:00,CRYPTOCAP:BTC.D,39.96629333,40.29168196,39.18446796,39.61016134,6975910773
2/16/2018 17:00,CRYPTOCAP:BTC.D,39.61059404,40.75653624,39.59423376,40.75653624,6975910773
2/17/2018 17:00,CRYPTOCAP:BTC.D,40.79023247,41.57035395,40.32495988,41.10675124,9024107918
2/18/2018 17:00,CRYPTOCAP:BTC.D,41.09646471,41.88721463,40.8845666,41.88721463,9024107918
2/19/2018 17:00,CRYPTOCAP:BTC.D,41.87359941,44.91181691,41.75461925,43.67975272,9024107918
2/20/2018 17:00,CRYPTOCAP:BTC.D,43.72279072,44.15422694,42.85598994,43.58616091,9024107918
2/21/2018 17:00,CRYPTOCAP:BTC.D,43.59819759,44.17205107,43.04431096,43.41392078,9024107918
2/22/2018 17:00,CRYPTOCAP:BTC.D,43.42632476,43.78430804,42.13085105,42.82232572,9024107918
2/23/2018 17:00,CRYPTOCAP:BTC.D,42.8488266,43.49709382,42.22901931,42.5168949,9024107918
2/24/2018 17:00,CRYPTOCAP:BTC.D,42.5470917,42.75511425,41.60514626,42.00838224,6447241938
2/25/2018 17:00,CRYPTOCAP:BTC.D,42.0269433,43.07576909,41.62119836,42.91924227,6447241938
2/26/2018 17:00,CRYPTOCAP:BTC.D,42.87332661,43.47650813,42.471344,43.40052326,6447241938
2/27/2018 17:00,CRYPTOCAP:BTC.D,43.38422933,44.28898265,42.70249696,43.74528056,6447241938
2/28/2018 17:00,CRYPTOCAP:BTC.D,43.74306658,44.55725821,43.28936439,44.2986985,6447241938
3/1/2018 17:00,CRYPTOCAP:BTC.D,44.28970397,45.39696954,44.18821394,44.97212933,6447241938
3/2/2018 17:00,CRYPTOCAP:BTC.D,44.9662332,46.06020714,44.76123985,45.97339777,6447241938
3/3/2018 17:00,CRYPTOCAP:BTC.D,45.96383824,46.057461,44.49941306,45.33239962,6223240516
3/4/2018 17:00,CRYPTOCAP:BTC.D,45.25843711,46.3680559,44.60694878,45.88593115,6223240516
3/5/2018 17:00,CRYPTOCAP:BTC.D,45.90721076,46.10946421,45.03092756,45.50530098,6223240516
3/6/2018 17:00,CRYPTOCAP:BTC.D,45.53303048,46.58767372,45.20772257,45.54199171,6223240516
3/7/2018 17:00,CRYPTOCAP:BTC.D,45.55228264,46.0628366,45.05292166,45.84483382,6223240516
3/8/2018 17:00,CRYPTOCAP:BTC.D,45.89305409,46.34498574,44.7774366,45.04112214,6223240516
3/9/2018 17:00,CRYPTOCAP:BTC.D,45.05598985,45.59497842,44.62639972,45.25507174,6223240516
3/10/2018 17:00,CRYPTOCAP:BTC.D,45.19407229,46.09478159,44.88438745,45.59177039,5170154962
3/11/2018 18:00,CRYPTOCAP:BTC.D,45.61275524,46.11129524,45.43277534,45.6678467,5170154962
3/12/2018 18:00,CRYPTOCAP:BTC.D,45.69560765,46.32426954,45.45396493,45.90227217,5170154962
3/13/2018 18:00,CRYPTOCAP:BTC.D,45.87786353,46.65225017,45.57167525,46.26731376,5170154962
